,sqfeet,beds,baths,income,density,rental,sale,ROI,city
0,571.6070342724722,1,1,13754.207607784148,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
1,1348.9201550149246,3,1,83360.52932617845,5637.74876296595,3959.44,523379.38,132.18520295799405,"Portlandville, NY"
2,1140.039349288426,1,1,18409.262345481304,39935.9172057209,3399.46,297371.86,87.47620504433057,"Bronx, NY"
3,1348.8041886570263,3,1,17382.054067556077,17219.692318277426,3277.96,173274.16285714283,52.86036524458591,"Austin, TX"
4,522.9385391534597,1,1,13327.201795290954,19931.74241681049,2061.585,59677.0,28.94714503646466,"Austin, TX"
5,1356.9810253375856,2,1,13652.390388208723,19456.99145594398,2512.78,67940.95923520923,27.03816459666553,"Austin, TX"
6,1340.2534564728244,4,2,125128.1045039896,5772.992322221239,3582.04,352667.13,98.45426907572222,"Portlandville, NY"
7,1348.8041886570263,3,1,18281.894381282826,21852.453922796456,2866.12,78561.39296536795,27.410364173645192,"Philadelphia, PA"
8,1340.683367664422,3,2,115648.62958407418,5637.781679846772,3776.04,503777.0258126946,133.41411261869436,"Portlandville, NY"
9,1353.8669619664972,2,1,13652.390388208723,20549.308332798944,2598.36,67991.95923520923,26.167259053868296,"Austin, TX"
10,1340.683367664422,3,2,123666.6813711452,5637.781679846772,3730.78,405277.25,108.63070189075742,"Portlandville, NY"
11,1247.7830385158752,2,1,18770.197314158453,17051.705868058794,3122.26,164919.22,52.82046338229359,"Austin, TX"
12,1340.683367664422,3,2,126059.17712995064,6020.825730007113,3583.74,382291.7854545455,106.67397340614708,"Portlandville, NY"
13,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
14,1340.2235184108874,3,1,83360.52932617845,5637.74876296595,3938.64,521326.49090909096,132.3620566766932,"Portlandville, NY"
15,765.2482995535753,2,1,22176.574834442617,39802.70158584244,3072.356666666666,124489.0,40.519058659639136,"Bronx, NY"
16,1340.553659186732,3,2,117841.9311010842,5637.781679846772,3770.54,458476.0646309246,121.5942715449046,"Portlandville, NY"
17,1340.6828782270882,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288,"Portlandville, NY"
18,1348.8041886570263,4,1,17536.677489143418,17219.692318277426,3203.75,169761.8,52.98846664065548,"Austin, TX"
19,1337.5014582711458,3,1,17675.784002973018,20975.06919212424,2909.27,116853.86174603176,40.1660422532222,"Philadelphia, PA"
20,728.6506341135673,2,1,22869.91918245331,41190.48677185248,3055.546666666666,122661.875,40.144003146190975,"Bronx, NY"
21,1319.1253524056128,3,1,18401.06798862133,22133.00322513665,2871.99,116067.21015873014,40.41351472628044,"Philadelphia, PA"
22,1340.683367664422,3,1,121101.29207259844,5780.028083648886,3582.19,369737.18,103.21540175144256,"Portlandville, NY"
23,1337.5014582711458,2,1,17675.784002973018,21872.79263412872,2890.93,116503.86174603172,40.29978648602067,"Philadelphia, PA"
24,733.3149936633812,3,1,22178.34737266444,39802.70158584244,3060.773333333333,123911.875,40.48384558586501,"Bronx, NY"
25,1331.3801494782465,3,1,17675.784002973018,19887.60580409083,2880.68,116437.61492063492,40.42018374850206,"Austin, TX"
26,1340.683367664422,4,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
27,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
28,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
29,1340.683367664422,3,2,117841.89637883774,5637.781679846772,3770.54,458476.0646309246,121.5942715449046,"Portlandville, NY"
30,1340.683367664422,4,2,113996.77296566487,5637.781787150607,3772.44,464645.1146309246,123.16832464689288,"Portlandville, NY"
31,571.6070342724722,1,1,11424.396365254328,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
32,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288,"Portlandville, NY"
33,1340.683367664422,3,1,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
34,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
35,1140.039349288426,1,1,18409.262345481304,39577.89332960828,3399.46,297371.86,87.47620504433057,"Bronx, NY"
36,522.9385391534597,1,1,13327.201795290954,19931.74241681049,2061.585,59677.0,28.94714503646466,"Austin, TX"
37,1340.683367664422,3,2,115648.62958407418,5637.781679846772,3776.04,503777.0258126946,133.41411261869436,"Portlandville, NY"
38,1340.683367664422,3,2,120998.9574447721,5637.748662172541,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
39,1340.553659186732,3,2,117841.9311010842,5637.781679846772,3770.54,458476.0646309246,121.5942715449046,"Portlandville, NY"
40,1340.6907244290728,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288,"Portlandville, NY"
41,1337.5014582711458,3,1,17732.49488498414,21872.79263412872,2890.93,116503.86174603172,40.29978648602067,"Philadelphia, PA"
42,733.3149936633812,3,1,22178.34737266444,39802.70158584244,3060.773333333333,123911.875,40.48384558586501,"Bronx, NY"
43,1340.683367664422,3,2,121101.29207259844,5779.3038377391085,3582.19,369737.18,103.21540175144256,"Portlandville, NY"
44,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
45,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
46,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288,"Portlandville, NY"
47,1340.683367664422,3,1,121101.29207259844,5780.028083648886,3582.19,369737.18,103.21540175144256,"Portlandville, NY"
48,1340.683367664422,3,2,117841.89637883774,5637.781679846772,3770.54,458476.0646309246,121.5942715449046,"Portlandville, NY"
49,571.6070342724722,1,1,13754.207607784148,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
50,1340.683367664422,3,2,126021.8000165086,5637.781679846772,3730.78,405277.25,108.63070189075742,"Portlandville, NY"
51,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
52,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288,"Portlandville, NY"
53,1340.683367664422,3,2,126059.17712995064,5637.781679846772,3730.78,405277.25,108.63070189075742,"Portlandville, NY"
54,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
55,1337.5014582711458,3,1,17732.49488498414,21872.79263412872,2890.93,116503.86174603172,40.29978648602067,"Philadelphia, PA"
56,1319.1253524056128,3,1,18401.06798862133,22133.00322513665,2871.99,116067.21015873014,40.41351472628044,"Philadelphia, PA"
57,1340.683367664422,3,2,121101.29207259844,5779.3038377391085,3582.19,369737.18,103.21540175144256,"Portlandville, NY"
58,1337.5014582711458,2,1,17675.784002973018,21872.79263412872,2890.93,116503.86174603172,40.29978648602067,"Philadelphia, PA"
59,1340.683367664422,3,1,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
60,571.6070342724722,1,1,13754.207607784148,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
61,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288,"Portlandville, NY"
62,571.6070342724722,1,1,11598.84404139564,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
63,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288,"Portlandville, NY"
64,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
65,1337.5014582711458,3,1,17675.784002973018,21872.79263412872,2890.93,116503.86174603172,40.29978648602067,"Philadelphia, PA"
66,1340.683367664422,3,1,121101.29207259844,5780.297583950826,3582.19,369737.18,103.21540175144256,"Portlandville, NY"
67,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
68,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
69,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288,"Portlandville, NY"
70,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
71,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
72,571.6070342724722,1,1,13754.207607784148,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
73,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
74,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288,"Portlandville, NY"
75,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
76,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
77,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
78,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955237,"Austin, TX"
79,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288,"Portlandville, NY"
80,1340.683367664422,3,2,121101.29207259844,5779.3038377391085,3582.19,369737.18,103.21540175144256,"Portlandville, NY"
81,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
82,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
83,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974,"Portlandville, NY"
84,575.6124919839208,1,1,13664.546986373924,19931.74241681049,1869.813,49080.0,26.24861416622946,"Austin, TX"
85,1346.821517547026,3,1,84116.86733593584,5637.74876296595,3957.44,579193.66,146.35563899894882,"Portlandville, NY"
86,1146.8111867121231,1,1,16736.81888284796,39690.284842728375,3398.66,297371.86,87.49679579599018,"Bronx, NY"
87,1348.8041886570263,4,1,17382.054067556077,17219.692318277426,3203.75,173294.47,54.091133827545846,"Austin, TX"
88,488.0643405265134,1,1,17751.141952584672,19931.74241681049,2042.3733333333328,62814.0,30.75539568345324,"Austin, TX"
89,1353.8669619664972,2,1,15066.22489314717,21514.768759815957,2567.69,67991.95923520923,26.479816190898912,"Philadelphia, PA"
90,1330.507396394178,3,2,124348.14905342532,5785.297842101214,3551.88,352667.13,99.29027163079832,"Portlandville, NY"
91,1348.8041886570263,3,1,17677.97405971961,21872.79263412872,2838.47,78561.39296536795,27.677373009180283,"Philadelphia, PA"
92,1313.5452818658175,5,1,116745.85751267686,5637.749861789111,3774.23,515359.09463092464,136.5468173987607,"Portlandville, NY"
93,1281.894544629631,4,2,84171.16996269781,5637.781780640181,3813.23,562038.74,147.39177547643337,"Portlandville, NY"
94,1348.8041886570263,3,1,19173.70373736149,21872.79263412872,2866.12,103661.7231240981,36.16796335258053,"Philadelphia, PA"
95,1353.781115513988,2,1,13652.390388208723,21872.79263412872,2569.88,68241.95923520923,26.55453143151012,"Philadelphia, PA"
96,1247.7830385158752,3,1,18023.91232202103,17051.705868058794,3094.61,165019.22,53.32472266295268,"Austin, TX"
97,728.6506341135673,2,1,13705.37025767536,41190.48677185248,3025.5566666666664,122661.875,40.54191955860465,"Bronx, NY"
98,1340.683367664422,3,2,126636.42069480575,6020.825730007113,3583.74,382442.9054545455,106.71614164379824,"Portlandville, NY"
99,1330.507396394178,3,2,124345.4669011599,5633.250469483536,3703.28,405277.25,109.43737713594436,"Portlandville, NY"
