,sqfeet,beds,baths,income,density,ROI,rental,sale,city
0,2444.702176186319,3,1,19809.46406365316,18807.30313307754,27.894488515398287,2846.42,79399.43,"Austin, TX"
1,2444.68406625585,2,1,19809.034013891676,18806.47999722453,27.894488515398287,2345.16,171519.61,"Austin, TX"
2,2444.697940432105,3,1,19807.559713064693,18806.53747991336,27.894488515398287,2846.42,79399.43,"Austin, TX"
3,2444.733180318154,3,1,19809.02765377041,18807.34248194568,27.894488515398287,2846.42,79399.43,"Austin, TX"
4,2444.7023443615312,2,1,19809.017160693013,18807.30369401583,27.894488515398287,2345.16,171519.61,"Austin, TX"
5,2444.7022271500987,3,1,19809.09370968063,18789.7330710838,27.894488515398287,2846.42,79399.43,"Austin, TX"
6,2444.69714061565,3,1,19809.02240841176,18807.331266230078,27.894488515398287,2846.42,79399.43,"Austin, TX"
7,2444.702279649736,3,1,19838.630947479243,18806.23270601791,27.894488515398287,2846.42,79399.43,"Austin, TX"
8,2444.7022276412767,2,1,19809.017160693013,18807.30369401583,27.894488515398287,2345.16,171519.61,"Austin, TX"
9,2444.7019445897186,2,1,19809.01730038599,18807.3405663654,27.894488515398287,2345.16,171519.61,"Austin, TX"
10,2444.728728589234,2,1,19809.312351407098,18806.987025042465,27.894488515398287,2345.16,171519.61,"Austin, TX"
11,2444.68406625585,2,1,19809.034013891676,18806.47999722453,27.894488515398287,2345.16,171519.61,"Austin, TX"
12,2447.574792828188,2,1,19809.017160693013,18807.30100206617,27.894488515398287,2345.16,171519.61,"Austin, TX"
13,2444.728728589234,2,1,19809.312351407098,18807.29694675383,27.894488515398287,2345.16,171519.61,"Austin, TX"
14,2444.6891728813857,3,1,19851.98681776664,18806.963000712927,27.894488515398287,2846.42,79399.43,"Austin, TX"
15,2444.70221951071,3,1,19809.465797160992,18805.9747833654,27.894488515398287,2846.42,79399.43,"Austin, TX"
16,2444.702279649736,3,1,19838.630947479243,18806.23270601791,27.894488515398287,2846.42,79399.43,"Austin, TX"
17,2444.702213764255,3,1,19809.031536771006,18804.38495367793,27.894488515398287,2846.42,79399.43,"Austin, TX"
18,2444.702218380226,2,1,19809.027750618978,18807.33390500486,27.894488515398287,2345.16,171519.61,"Austin, TX"
19,2444.723520885863,2,1,20126.71135946471,18807.335595959303,27.894488515398287,2345.16,171519.61,"Austin, TX"
20,2444.704178023788,3,1,19909.378725202496,18806.42272569107,27.894488515398287,2846.42,79399.43,"Austin, TX"
21,2444.702154193192,2,1,19809.033912459232,18806.478815984286,27.894488515398287,2345.16,171519.61,"Austin, TX"
22,2444.68406625585,2,1,19809.034013891676,18806.085393789966,27.894488515398287,2345.16,171519.61,"Austin, TX"
23,2444.704139680559,2,1,20127.37124144712,18806.08930184834,27.894488515398287,2345.16,171519.61,"Austin, TX"
24,2444.6827728847525,2,1,19805.237169214597,18806.986967173263,27.894488515398287,2345.16,171519.61,"Austin, TX"
25,2444.698193260901,2,1,19809.83663429837,18807.19100075675,27.894488515398287,2345.16,171519.61,"Austin, TX"
26,2444.7022269505915,2,1,19809.04064398945,18806.40754734577,27.894488515398287,2345.16,171519.61,"Austin, TX"
27,2444.7278423152816,2,1,19810.594028668904,18806.983829013065,27.894488515398287,2345.16,171519.61,"Austin, TX"
28,2444.702218380226,3,1,19809.035416923354,18807.34085317253,27.894488515398287,2846.42,79399.43,"Austin, TX"
29,2444.702218691613,3,1,19835.527064868304,18807.33983617112,27.894488515398287,2846.42,79399.43,"Austin, TX"
30,2444.768668926936,2,1,19809.48113666558,18806.48641609345,27.894488515398287,2345.16,171519.61,"Austin, TX"
31,2444.702218380226,2,1,19809.02765377041,18807.328870841364,27.894488515398287,2345.16,171519.61,"Austin, TX"
32,2444.702218380226,3,1,19809.02765377041,18807.341067919,27.894488515398287,2846.42,79399.43,"Austin, TX"
33,2444.69714061565,2,1,19809.055884730624,18806.48641609345,27.894488515398287,2345.16,171519.61,"Austin, TX"
34,2444.6963974569417,3,1,19809.46538953283,18807.28356317244,27.894488515398287,2846.42,79399.43,"Austin, TX"
35,2444.739001241439,3,1,19809.02765377041,18807.34248194568,27.894488515398287,2846.42,79399.43,"Austin, TX"
36,2444.702218380226,2,1,19809.46538953283,18807.28377114726,27.894488515398287,2345.16,171519.61,"Austin, TX"
37,2444.702218380226,2,1,19809.482806293185,18807.34044167532,27.894488515398287,2345.16,171519.61,"Austin, TX"
38,2444.702154193192,2,1,19809.027569097543,18795.798200164325,27.894488515398287,2345.16,171519.61,"Austin, TX"
39,2444.704178023788,2,1,19905.15257030188,18806.97535169412,27.894488515398287,2345.16,171519.61,"Austin, TX"
40,2444.697254783136,3,1,19829.56424720893,18807.34928760117,27.894488515398287,2846.42,79399.43,"Austin, TX"
41,2444.702218380226,2,1,19809.482806293185,18807.34064965014,27.894488515398287,2345.16,171519.61,"Austin, TX"
42,2444.7296085244693,3,1,19809.09370968063,18806.520787381374,27.894488515398287,2846.42,79399.43,"Austin, TX"
43,2444.701983287527,3,1,19809.01975390758,18806.434066467707,27.894488515398287,2846.42,79399.43,"Austin, TX"
44,2444.7021491151395,2,1,19809.49556700237,18804.37746274439,27.894488515398287,2345.16,171519.61,"Austin, TX"
45,2444.702279649736,3,1,19838.630947479243,18806.23270601791,27.894488515398287,2846.42,79399.43,"Austin, TX"
46,2444.702218380226,2,1,19811.9973069863,18806.256540047336,27.894488515398287,2345.16,171519.61,"Austin, TX"
47,2444.702176013278,2,1,19853.112710700443,18786.62288591052,27.894488515398287,2345.16,171519.61,"Austin, TX"
48,2444.702218380226,2,1,19809.51146484678,18806.14539330669,27.894488515398287,2345.16,171519.61,"Austin, TX"
49,2444.702218380226,2,1,19809.482806293185,18807.34064965014,27.894488515398287,2345.16,171519.61,"Austin, TX"
50,2444.703425713237,2,1,19809.02240841176,18807.35078180507,27.894488515398287,2345.16,171519.61,"Austin, TX"
51,2444.704178023788,3,1,19909.378725202496,18806.42272569107,27.894488515398287,2846.42,79399.43,"Austin, TX"
52,2444.702176186319,3,1,19809.46406365316,18807.30313307754,27.894488515398287,2846.42,79399.43,"Austin, TX"
53,2444.702176013278,3,1,19853.112710700443,18786.664329685304,27.894488515398287,2846.42,79399.43,"Austin, TX"
54,2444.733180318154,3,1,19809.02765377041,18807.34248194568,27.894488515398287,2846.42,79399.43,"Austin, TX"
55,2444.702213764255,3,1,19809.031536771006,18804.38495367793,27.894488515398287,2846.42,79399.43,"Austin, TX"
56,2444.702218380226,3,1,19809.02752999783,18806.206712185493,27.894488515398287,2846.42,79399.43,"Austin, TX"
57,2444.704178023788,2,1,19905.15257030188,18806.97535169412,27.894488515398287,2345.16,171519.61,"Austin, TX"
58,2444.7243739402265,2,1,20126.71135946471,18807.335595959303,27.894488515398287,2345.16,171519.61,"Austin, TX"
59,2444.702211563789,3,1,19809.030877543584,18804.43183066953,27.894488515398287,2846.42,79399.43,"Austin, TX"
60,2444.702218380226,2,1,19809.02742310563,18786.42442953496,27.894488515398287,2345.16,171519.61,"Austin, TX"
61,2444.6980627263047,3,1,19809.49383349454,18804.385235256614,27.894488515398287,2846.42,79399.43,"Austin, TX"
62,2444.702218380226,3,1,19809.02752999783,18807.328870841364,27.894488515398287,2846.42,79399.43,"Austin, TX"
63,2444.147858485748,2,1,19840.28788853318,18804.418446713586,27.894488515398287,2345.16,171519.61,"Austin, TX"
64,2444.7022276412767,2,1,19809.017160693013,18807.30369401583,27.894488515398287,2345.16,171519.61,"Austin, TX"
65,2444.702218375145,3,1,19809.03827588027,18807.31767925795,27.894488515398287,2846.42,79399.43,"Austin, TX"
66,2444.68406625585,2,1,19809.034013891676,18806.47999722453,27.894488515398287,2345.16,171519.61,"Austin, TX"
67,2444.702218380226,2,1,19809.51146484678,18806.14539330669,27.894488515398287,2345.16,171519.61,"Austin, TX"
68,2444.702218380226,3,1,19809.48041349856,18807.51154093613,27.894488515398287,2846.42,79399.43,"Austin, TX"
69,2444.6891728813857,3,1,19851.98681776664,18807.27292242429,27.894488515398287,2846.42,79399.43,"Austin, TX"
70,2444.702228041441,3,1,19809.49383349454,18804.37746274439,27.894488515398287,2846.42,79399.43,"Austin, TX"
71,2444.702218380226,3,1,19811.9973069863,18806.256540047336,27.894488515398287,2846.42,79399.43,"Austin, TX"
72,2444.702193695038,3,1,19838.630947479243,18806.29485408669,27.894488515398287,2846.42,79399.43,"Austin, TX"
73,2444.704139680559,2,1,20127.37124144712,18806.08308382258,27.894488515398287,2345.16,171519.61,"Austin, TX"
74,2444.7022142017386,3,1,19809.465797160992,18806.463336268465,27.894488515398287,2846.42,79399.43,"Austin, TX"
75,2444.702176013278,3,1,19853.112710700443,18786.664329685304,27.894488515398287,2846.42,79399.43,"Austin, TX"
76,2444.702891291951,2,1,19809.034013891676,18806.183891018965,27.894488515398287,2345.16,171519.61,"Austin, TX"
77,2444.697254783136,3,1,19829.56424720893,18807.34928760117,27.894488515398287,2846.42,79399.43,"Austin, TX"
78,2444.702151310595,2,1,19809.08482532132,18806.465999333643,27.894488515398287,2345.16,171519.61,"Austin, TX"
79,2444.72839827932,2,1,19851.819413568588,18806.983829013065,27.894488515398287,2345.16,171519.61,"Austin, TX"
80,2444.69714061565,2,1,19809.02240841176,18807.330973099743,27.894488515398287,2345.16,171519.61,"Austin, TX"
81,2444.69714061565,3,1,19809.02240841176,18806.480282222205,27.894488515398287,2846.42,79399.43,"Austin, TX"
82,2444.702218380226,3,1,19809.465797160992,18805.9747833654,27.894488515398287,2846.42,79399.43,"Austin, TX"
83,2444.7023438703536,3,1,19809.09370968063,18789.7330710838,27.894488515398287,2846.42,79399.43,"Austin, TX"
84,2444.7022180310764,2,1,19809.031644322506,18806.549877117595,27.894488515398287,2345.16,171519.61,"Austin, TX"
85,2444.702154193192,2,1,19809.033912459232,18806.08421254973,27.894488515398287,2345.16,171519.61,"Austin, TX"
86,2444.6827728847525,2,1,19805.237169214597,18806.986967173263,27.894488515398287,2345.16,171519.61,"Austin, TX"
87,2444.72839827932,2,1,19809.312351407098,18806.987025042465,27.894488515398287,2345.16,171519.61,"Austin, TX"
88,2444.702218380226,3,1,19809.02765377041,18807.328870841364,27.894488515398287,2846.42,79399.43,"Austin, TX"
89,2444.702218380226,2,1,19809.482806293185,18807.34064965014,27.894488515398287,2345.16,171519.61,"Austin, TX"
90,2444.7022276412767,2,1,19809.017160693013,18807.30369401583,27.894488515398287,2345.16,171519.61,"Austin, TX"
91,2444.698193260901,2,1,19809.83663429837,18807.353802012785,27.894488515398287,2345.16,171519.61,"Austin, TX"
92,2444.6981486810023,2,1,19809.04070355755,18804.37746274439,27.894488515398287,2345.16,171519.61,"Austin, TX"
93,2444.701983287527,3,1,19809.01975390758,18806.434066467707,27.894488515398287,2846.42,79399.43,"Austin, TX"
94,2444.7022393255024,3,1,19813.219567776963,18807.34897991526,27.894488515398287,2846.42,79399.43,"Austin, TX"
95,2444.7041502620746,3,1,19905.190034969117,18806.42272569107,27.894488515398287,2846.42,79399.43,"Austin, TX"
96,2444.7022284136447,3,1,19809.01708897937,18807.34248194568,27.894488515398287,2846.42,79399.43,"Austin, TX"
97,2444.702218380226,3,1,19809.49383349454,18806.19575335212,27.894488515398287,2846.42,79399.43,"Austin, TX"
98,2444.702211563789,3,1,19809.030877543584,18807.34897991526,27.894488515398287,2846.42,79399.43,"Austin, TX"
99,2444.733180318154,3,1,19809.02765377041,18807.34248194568,27.894488515398287,2846.42,79399.43,"Austin, TX"
